title,score,genres,episodes,synopsis,popularity,members,studios,year
Fairy Tail the Movie: The Phoenix Priestess - The First Morning,7.33,"['Fantasy', 'Shounen']",1.0,"Under the scorching desert sun, a lonely girl called Éclair wanders, faithfully protecting the relic ""Phoenix Stone"" entrusted to her. Even though she hates magic, the power of the Stone brings her handcrafted plush toy to life. Finally graced with the warmth of friendship, Éclair names it Momon, and together, they commence their journey across Fiore, guided by the Stone.
",2410,93576,"['Satelight', 'A-1 Pictures']",
The Rolling Girls,6.58,"['Action', 'Adventure', 'Sci-Fi', 'CGDCT', 'Super Power']",12.0,"In a dystopian future where Japan's political organization has crumbled after the Great Tokyo War, Japan is broken up into 10 independent nations, with each nation controlled by a gang led by a ""Best,"" a human-proclaimed prophet with destructive superpowers. Nozomi Moritomo is a ""Rest""—a normal girl that has just started out as a rookie in the local gang. She wants to help the Best Masami Utoku, her childhood friend and role model, in the ongoing territorial dispute. 

When Masami becomes severely injured and unable to fight, Nozomi decides to go on a mission to complete the requests sent to Masami from all over Japan. Along the way, she meets Yukina Kosaka, a shy girl with no sense of direction; Ai Hibiki, an upbeat girl who loves eating; and Chiaya Misono, a quiet and mysterious girl that wears a gas mask. Together, the four girls travel all over the country on their motorcycles while getting involved in territorial wars, disagreements, and even suspicious conspiracies.",2411,93561,['Wit Studio'],2015
Scissor Seven: The Strongest Hairstylist,8.22,"['Action', 'Comedy', 'Drama', 'Mystery', 'Martial Arts', 'Super Power']",10.0,"Seeking to recover his memories, a scissor-wielding hairdresser, bungling quasi-assassin stumbles into a struggle for power among two feuding",2412,93539,['Sharefun Studio'],
Whisper Me a Love Song,6.67,"['Drama', 'Girls Love', 'School']",12.0,"Himari Kino is a cheerful and outgoing girl who is able to make friends with anyone she wants. When she enrolls in high school and attends the freshman opening ceremony, Himari falls in love with Yori Asanagi, a reserved upperclassman, during Yori's band performance. After the show, Himari blurts out her love, but Yori is inexperienced when it comes to romance.

Yori, who did not expect this outcome at all, looks for answers from her friends and music. She decides to respond to Himari's confession, and to her surprise, Yori discovers that Himari fell in love with her music and performance rather than Yori as a person.

Despite the shock, Yori desires to make Himari truly fall in love with her. The duo spend time together after school on the rooftop, where Yori usually plays her guitar with hopes to change Himari's feelings for her.",2413,93477,"['Yokohama Animation Laboratory', 'Cloud Hearts']",2024
"Love, Chunibyo & Other Delusions!: Heart Throb Lite Shorts",7.19,"['Comedy', 'School']",6.0,Short episodes aired on KyoAni',2414,93483,['Kyoto Animation'],
The Way of the Househusband Season 2,7.57,"['Comedy', 'Adult Cast', 'Gag Humor', 'Organized Crime']",5.0,"With a wicked scar on his face, a terrifying gaze, and an apron adorned with a teddy bear, ex-yakuza member Tatsu proudly assumes the role of a full-time househusband. Already familiar with the regular challenges of grocery shopping, Tatsu now takes it to the next level by joining a women's organization—but acceptance is not easily achieved without first mastering the elegance of flower arranging and housekeeping.

Approaching homemaking ventures through the lens of his former occupation, Tatsu faces haiku battles, typhoon alerts, and cosplaying villains. For his dearest wife Miku, Tatsu will do anything, even if he is interrupted by his old acquaintances, whose former vigor has also yet to subside. Never faltering before a new challenge, Tatsu's tranquil days as a househusband are proving to be just as hectic as before.",2415,93342,['J.C.Staff'],
Digimon Data Squad,6.97,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",48.0,"Upon meeting for the first time, undefeated street fighter Masaru Daimon and renegade Digimon Agumon become friends in the most natural way possible for the knuckleheaded duo—by fighting their hearts out. The self-proclaimed ""ultimate team"" are recruited by a secret government organization called the Digital Accident Tactics Squad, or DATS, who had witnessed the unbelievable spectacle of a human fighting blow for blow with a Digimon. Their primary objective is investigating mysterious problems caused by Digimon entering the real world, and the world is currently in the midst of a crisis with Digimon appearing at an unprecedented rate. 

Embarking on various missions with DATS, Masaru and Agumon become colleagues with adolescent genius Touma Norstein and his Digimon partner Gaomon, along with the kind-hearted Yoshino ""Yoshi"" Fujieda and her Digimon partner Lalamon. As the group continues to investigate the rapid increase of Digimon in their world, a darker truth begins to surface.",2416,93340,['Toei Animation'],2006
Mikagura School Suite,6.67,"['Action', 'Comedy', 'Girls Love', 'School', 'Super Power', 'Visual Arts']",12.0,"To be around cute girls wearing cute clothing is all Eruna Ichinomiya desires. Since Mikagura High School happens to have the cutest uniforms around, she decides to enroll in this prestigious high school known for its cultural clubs.

However, she does not realize that joining a club is mandatory, and representatives from each club must battle for a ranking. Based on these rankings, club members are awarded housing and food. Chasing after Seisa Mikagura, the most beautiful girl in school, Eruna joins the going-home club but finds herself thrust into fighting the next club battle. With the other club representatives wielding unique powers, the competition is sure to be fierce!

Based on the popular song series, Mikagura Gakuen Kumikyoku follows Eruna as she explores the various clubs in school and assists the members with their troubled lives, all of whom are also vying for the top spot in school.",2417,93274,['Doga Kobo'],2015
ViVid Strike!,6.96,"['Action', 'Drama', 'Martial Arts']",12.0,"The aggressive Fuuka Reventon often finds herself in fights as she struggles to make a living. One day, she gets into an altercation with gangsters that leaves her with injuries; luckily, martial arts champion Einhald Stratos finds Fuuka and brings her to a hospital.

Seeing potential in Fuuka's skills, Einhald encourages the girl to become a martial arts athlete and offers her a job at Nakajima Gym, where Einhald trains. Despite the kind gesture, Fuuka initially declines the proposal due to the bad memories it brings. She was once childhood friends with the now prominent martial arts athlete Rinne Berlinetta, but the personality of her fellow orphan shifted from kind and gentle to cold and cruel after being adopted by a prosperous family and starting martial arts.

Nonetheless, Fuuka soon accepts Einhald's offer and begins training under her—not only out of necessity but also out of the desire to defeat Rinne and make her realize how hurtful her behavior has become. Despite Fuuka's inexperience, Einhald and the other members of the gym have faith in her talent and efforts.",2418,93208,['Seven Arcs Pictures'],2016
Overlord: The Dark Hero,7.69,"['Action', 'Adventure', 'Fantasy', 'Isekai']",1.0,,2419,93203,['Madhouse'],
Tearmoon Empire,7.2,"['Comedy', 'Time Travel', 'Villainess']",12.0,"Due to poor finances, an epidemic, and famine, the once prosperous Tearmoon Empire ultimately falls to a revolution instigated by its citizens and supported by neighboring nations. The rebellion also brings dire consequences for Mia Luna Tearmoon, the empire's extremely spoiled princess, who endures three years in the dungeons before facing execution.

By some miracle, Mia finds herself reincarnated as her 12-year-old self, retaining full memories of everything that had transpired. With the pain of the guillotine blade freshly imprinted on her neck, Mia is determined to use this second chance at life to avoid the grim fate that awaits her. She utilizes all her knowledge to improve the state of the kingdom and gather personal allies, inadvertently winning over the people's hearts and becoming beloved as a saint.",2420,93068,['SILVER LINK.'],2023
Pokémon Ranger and the Temple of the Sea,6.8,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Kids']",1.0,"Satoshi and his friends get lost in an unknown wasteland.  They eventually come across a ""Water Pokemon Show"" performed by the star of the Mariner Troupe, Hiromi.  Hiromi is a descendant of the troupe of Water People able to communicate with water pokemon, and she tells our heroes the legend that's been passed down by her people for generations.   According to legend, a temple the Water People built called ""The Water Temple Akuusha"" rests somewhere in the ocean, and a treasure called ""The Water Crown"" is hidden there.  It's said that no one has ever seen this treasure, but that changes when a Pokemon Ranger named Jack Walker (aka Jackie) appears to chase aftert it.

Jackie is on a top secret mission that has him protecting the egg of the leader of the water pokemon, Manaphy. This pokemon, called the ""Prince of the Sea,"" needs to be taken to the Water Temple Akuusha, so Satoshi-tachi and Hiromi decide to help him.  Along the way, a pirate named Phantom attacks our heroes from his great submarine.  Phantom plans to use the Water Crown's power to help him conquer the world, but he'll have to solve the mystery of Manaphy's egg first.  When the Rocket-Dan get into the mix, Jackie uses his Capture Styler to borrow the power of a nearby pokemon to stand up to them.  Satoshi and Pikachu enter the fray, but they still have to contend with the attacks of Phantom's powerful high tech mecha!  Suddenly, the egg starts to shine with a vivid light, and Manpahy is born!  

What is the mystery of the legendary treasure?  What mysterious powers does Manaphy have?  Can Satoshi-tachi and Jackie complete their top secret mission?  The journey to reach the Wate",2421,93114,['OLM'],
KimiKiss: Pure Rouge,7.25,"['Drama', 'Romance', 'School']",24.0,"Kouichi Sanada and Kazuki Aihara's childhood friend Mao Mizusawa has returned after living in France for a couple of years. Kouichi is surprised to learn that, since her parents are remaining overseas for the time being, his mother has agreed to let Mao stay with them. The three friends help each other deal with the ups and downs of high scho",2423,93051,['J.C.Staff'],2007
Blue Exorcist: Ura Eku,7.04,"['Comedy', 'Shounen']",10.0,"Ura Ex, extra short anime included in Blu-ray and the DVD r",2424,92951,['A-1 Pictures'],
Kurenai,7.31,"['Comedy', 'Drama', 'Childcare']",12.0,"Shinkurou Kurenai is a 16-year-old student by day and a dispute mediator by night. Though kind-hearted and patient, due to his tragic past, he has trained for years to live on. Now, despite his unimposing appearance, he is a strong martial artist, who also possesses a strange power.

While taking various jobs for his employer, Benika Juuzawa, one assignment leads Shinkurou to live with Murasaki Kuhouin as her bodyguard. Murasaki is the seven-year-old daughter of a plutocratic family, who escaped her home under peculiar circumstances with Benika's help. Commoner life, in her eyes, seems bizarre. However, by interacting with her neighbors, she grows more accustomed to the daily routine, and rids herself of her snobbish behavior, gradually growing attached to Shinkurou.

Though many details of the job remain unclear, Shinkurou still strives to protect the young lady. But to make things more complicated, he also lacks a crucial fact—what is the real threat against Murasaki?",2425,92925,"[""Brain's Base""]",2008
We Without Wings – Under the Innocent Sky,6.63,"['Comedy', 'Drama', 'Romance', 'Ecchi', 'Harem']",12.0,"Haneda Takashi has a secret he cannot speak of. To leave his dull school-life, he was supposed to have escaped to another world. However, he is reeled in by certain ties on his heart. One of these is Kobato, his awkward younger sister. The other is Watarai Asuka, his negligent girlfriend.

Chitose Shuusuke is a poor freeloader. He passes his days working at various part-time jobs. One day, he has a disastrous first encounter with Tamaizumi Hiyoko. The next time they meet, Shuusuke discovers that they are fellow employees at his part-time job.

Narita Hayato sees himself as a ""hard-boiled"" person. Back-breaking jobs are nothing to him. Hayato shuns normal human contact, but, during the nights, he would get together with delinquents and other denizens of the night. One such night, he meets the cheerful and oblivious Otori Naru.

The relationships with these girls will greatly affect these 3 young men. But what, exactly, is the relationship these young men have with each ",2426,92883,['Nomad'],2011
The Beast Player Erin,8.29,"['Drama', 'Fantasy']",50.0,"In the land of Ryoza, the neighboring provinces of Shin-Ou and Tai-Kou have been at peace. Queen Shinou is the ruler of Ryoza and her greatest general, Grand Duke Taikou, defends the kingdom with his army of powerful war-lizards known as the ""Touda."" Although the two regions have enjoyed a long-standing alliance, mounting tensions threaten to spark a fierce civil war.

Within Ake, a village in Tai-Kou tasked with raising the Grand Duke's army, lives Erin, a bright girl who spends her days watching the work of her mother Soyon, the village's head Touda doctor. But while under Soyon's care, a disastrous incident befalls the Grand Duke's strongest Touda, and the peace that Erin and her mother had been enjoying vanishes as Soyon is punished severely. In a desperate attempt to save her mother, Erin ends up falling in a river and is swept towards Shin-Ou.

Unable to return home, Erin must learn to lead a new life with completely different people, all while hunting for the truth of both beasts and humanity itself, with tensions between the two regions constantly escalating.",2427,92789,"['Production I.G', 'Trans Arts']",2009
BlazBlue: Alter Memory,6.08,"['Action', 'Fantasy', 'Super Power']",12.0,"The story is set in December of 2199, when the streets are full of anticipation for the end of the year and the start of the new one. Amid the celebrations, word spreads that Ragna the Bloodedge, an SS-class rebel with the highest ever bounty on his head, has appeared in the 13th Hierarchical City of Kagutsuchi. The apparent aim of Ragna or the ""Grim Reaper"" is the destruction of the system controlling the world. To collect the bounty, a motley array of unrivaled fighters converge on ",2428,92520,"['Hoods Entertainment', 'teamKG']",2013
Norn9,6.54,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi', 'Josei']",12.0,"In a futuristic era, ""The World"" is a peace-bringing entity. Though no one knows its location, it has watched over Earth for so long that war has become merely a fable. The airship Norn's task is to deliver nine ability users to The World.

After collecting the last person, Norn takes off. Included onboard are eight men and three women—Koharu, who has finally escaped her loneliness and detests her destructive power; Mikoto Kuga, born to a noble family, who uses her barrier skill to protect the Norn and those it carries; and Nanami Shiranui, whose ability only brings pain, and who wishes to die for a past sin she has committed. While en route, suspicions arise amongst the passengers when they realize there are too many people onboard.

As they try to determine who has snuck aboard, the ship is attacked by an unknown assailant aiming to stop the Norn's progress at all costs. From this chaos arises questions: why were they granted powers, and what must they do once they reach The World?",2429,92501,"['Kinema Citrus', 'Orange']",2016
Ghost in the Shell 2.0,7.96,"['Mystery', 'Sci-Fi', 'Suspense', 'Adult Cast', 'Detective', 'Mecha', 'Psychological', 'Seinen']",1.0,"Set in the year 2029 and following World Wars III and IV, a Japanese-led Asian block dominates world affairs. The alliance maintains its international supremacy through its elite security force whose cybernetically enhanced operatives tackle an array of hi-tech terrorists and other threats to international security. These augmented agents can ""ghost hack"" (i.e., download their consciousness) via the now omnipresent internet into other machines and human/machine cross breeds.

Major Motoko Kusanagi, a cybernetically augmented female agent, has been tracking a virtual entity known as the Puppet Master with her crack squad of security agents. The shape-shifting Puppet Master, a rogue creation of a rival agency of the security apparatus, has concluded that it is a life form in its own right, ""born in sea of information,"" and requested political asylum and true physical existence in defiance of its creators.

(Source: M",2430,92460,['Production I.G'],
Togainu no Chi,6.21,"['Action', 'Boys Love', 'Sci-Fi', 'Suspense', 'Gore', 'Survival']",12.0,"In the wake of a third world war which left Japan in ruins, an organization known as Vischio seized control of Tokyo and renamed it Toshima. Taking place in its back alleys are battle games known as Igura, overseen by the Vischio, in which contestants battle and bathe in each other's blood to earn the chance to go up against its tournament's king, Il-re.

Igura is not the only fighting tournament around; Bl@ster is a similar yet vastly different game since it prohibits murder and the use of weapons. The only way to win is by knocking out the opponent. Akira, a young man isolated from his family, is known to be undefeatable at Bl@ster. However, his life on the top is shattered when he is accused of murder. Unable to prove his own innocence, all hope is seemingly lost... that is until a mysterious woman named Emma appears and offers him a chance. Now, to regain his freedom, Akira must participate in Igura and ultimately defeat Il-re.",2431,92461,['A-1 Pictures'],2010
Soni-Ani: Super Sonico The Animation,6.08,"['Comedy', 'Adult Cast', 'Music']",12.0,"Super Sonico is a clutzy, adorable, and well-endowed 18-year old girl. She's a complete sucker for anything cute, especially stray cats, all of which she giddily adopts. However, though Sonico should be enjoying a carefree and simple lifestyle as a young college student, her life is really anything but easy: she must balance being a professional model, working part-time at her grandmother's restaurant, and practicing guitar and performing concerts with her friends Suzu Fujimi and Fuuri Watanuki in their band, First Astronomical Velocity—all while attending college. SoniAni: Super Sonico the Animation follows Sonico as she faces daunting challenges in her search for her place in the world, even when her days are brimming with love and happiness.",2432,92451,['White Fox'],2014
Sword Art Offline,6.15,['Comedy'],9.0,,2433,92350,['I was a Ballerina'],
Haven't You Heard? I Was Sakamoto,6.82,"['Comedy', 'Gag Humor', 'School', 'Seinen']",1.0,"Sakamoto has it all: he is handsome, he excels at his studies, and there is no situation he cannot handle with style. Not having lost their admiration for him, Sakamoto's former classmates recall the days when he graced the halls of their school before moving to America. As they imagine his life abroad, they figure that there is only one place suitable for their perfect friend—NASA. It seems that even in his absence, Sakamoto continues to enchant all who were lucky enough to meet him.",2434,92180,['Studio Deen'],
"Sankarea: I, Too, Am... A Zombie...",7.19,"['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi', 'Love Polygon', 'Shounen']",1.0,"Extra episode included on BD/DVD vol. 6; effectively episode 13. 

Despite their decaying bodies, Rea’s zombie power comes in handy both at school and at home, and Babu gets interested in another cat—although this particular feline is one of the liv",2435,92146,['Studio Deen'],
Shin Chan,7.81,"['Comedy', 'Ecchi', 'School', 'Seinen']",,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.

Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.",2436,92090,['Shin-Ei Animation'],1992
Kuma Kuma Kuma Bear Punch!,7.28,"['Adventure', 'Comedy', 'Fantasy', 'Isekai']",12.0,"Ever since moving to an in-game world after countless hours of VRMMO grinding, Yuna now calls Crimonia—the city where she started—home. While maintaining her reputation as a renowned adventurer, she continues to manage her businesses; but most importantly, Yuna spends time with the people she has grown to love. Nevertheless, this world has a lot more to offer the carefree adventurer. It is up to Yuna to discover these wonders, and perhaps help more people in need as she encounters their various plights.",2437,92002,['EMT Squared'],2023
Mobile Suit Gundam: The 08th MS Team,7.99,"['Adventure', 'Drama', 'Romance', 'Sci-Fi', 'Mecha', 'Military']",12.0,"In year 0079 of the Universal Century, the Earth Federation initiates Operation Odessa—a full-scale assault to retake a major Ukrainian city from the Principality of Zeon. It is a success, and the remaining Zeon forces scatter across the globe. The Earth Federation gains the upper hand in the One Year War and deploys its ground troops around the planet to hunt down the stragglers.

As part of the deployments, Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79[G] Gundam Ground Type pilots. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon. Everything goes according to plan until Shiro runs into Aina Sahalin, an ace Zeon pilot he met in an earlier battle, during a skirmish. Their reunion weakens his resolve to continue fighting, and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor.",2438,91947,['Sunrise'],
Blade of the Immortal,7.43,"['Action', 'Adventure', 'Drama', 'Supernatural', 'Gore', 'Historical', 'Martial Arts', 'Samurai', 'Seinen']",24.0,"Manji is an infamous swordsman in feudal Japan who is known as the ""Hundred Man Killer,"" as he has killed one hundred innocent men. However, there is something far more frightening than his ominous reputation: the fact that he is immortal. This is the handiwork of eight-hundred-year-old nun Yaobikuni, who placed bloodworms capable of healing almost any wound in Manji's body.

To atone for his crimes, Manji resolves to kill one thousand evil men. Yaobikuni agrees to this proposal, saying that if he succeeds, she will undo his curse of immortality. Soon after this promise, Manji meets Rin Asano, a 16-year-old girl who requests Manji's assistance in killing those who slaughtered her parents.

Initially reluctant, Manji refuses Rin's desperate plea. However, owing to her evident lack of strength, Manji changes his mind and agrees to protect Rin for four years. With this partnership set in stone, the two embark on a perilous journey of bloodshed, vengeance, and redemption, each to fulfill their own life's cause.",2439,91931,['LIDENFILMS'],
Ameku M.D.: Doctor Detective,7.14,"['Mystery', 'Adult Cast', 'Medical']",12.0,"Nestled away on the rooftop of Tenikai General Hospital is the unconventional Department of Investigative Pathology headed by the eccentric Dr. Takao Ameku. The tiny department, consisting of Takao and her sole resident Yuu ""Kotori"" Takanashi, treats complex cases that most other departments within the hospital cannot resolve on their own.

The mystery-obsessed Takao always tries to insert herself into cases that capture her fancy—much to the dismay of her colleagues and the police. Even if her meddling creates more problems for the hospital and those around her, none can deny the brilliance that the young department head exhibits as she weaves a diagnosis together. No matter the specialty, no case is impossible for Takao and a somewhat reluctant Takanashi to solve.",2440,91818,['Project No.9'],2025
Sound! Euphonium 3,8.72,"['Drama', 'Music', 'Performing Arts', 'School']",13.0,"With the ensemble contest behind them, the members of the Kitauji High School concert band now aim to win a gold medal at the national competition. For third-year club president Kumiko Oumae and her friends, it is their last chance before graduation. Filled with anticipation and anxiety, Kumiko worries if she can successfully lead the band.

Amid her struggles, Kumiko encounters transfer student Mayu Kuroe. From her gentle demeanor to her talented euphonium skills, Mayu was a member of the Seira Girls' School concert band—a regular at nationals. While Mayu is friendly, Kumiko cannot help but have an indescribable feeling from their meeting.

As new members arrive and plans are set in motion, the club, with an insatiable hunger for a gold medal, learns what it truly takes to propel themselves to reach the national level.",2441,91802,['Kyoto Animation'],2024
From Bureaucrat to Villainess: Dad's Been Reincarnated!,7.37,"['Comedy', 'Fantasy', 'Isekai', 'School', 'Villainess', 'Seinen']",12.0,"Although Kenzaburou Tondabayashi is a 52-year-old bureaucrat, he is well versed in reincarnation stories where a protagonist suddenly awakens in a fantasy world. After being hit by a truck, Kenzaburou lands in that exact situation. However, what baffles him is the fact he wound up in the world of an otome game—as the young villainess and the daughter of a duke, Grace Auvergne.

Fortunately for Kenzaburou, he is somewhat familiar with his new world, as it is based on the game called Magical Academy: Love & Beast. He was a proud father in his previous life, and he often listened to his daughter rave about the game's setting and characters. Armed with background knowledge and a lifetime's worth of dad skills, Kenzaburou strives to make the most of his new life, though his kind-hearted nature makes it difficult to fully embrace the role of a villainess.",2443,91720,['Ajia-do'],2025
Laid-Back Camp: The Movie,8.38,"['Slice of Life', 'Adult Cast', 'CGDCT', 'Iyashikei']",1.0,"As time marches forward, Rin Shima, Nadeshiko Kagamihara, and their friends have grown into full-fledged adults. Now with careers and responsibilities, they can no longer freely spend their days camping and adventuring. However, Chiaki Oogaki, who currently works for the Yamanashi Tourism Organization, reunites the group as she comes up with an exciting proposal—to build a campground together to revitalize an abandoned patch of land from their homeplace, the Yamanashi Prefecture.

Motivated by this ambitious project, the girls combine their efforts to create an environment where future generations can enjoy unique moments as they once did, all while reminiscing the charms of camping from their high school days.",2442,91763,['C-Station'],
Flash Kicker,7.36,"['Sports', 'Team Sports', 'Shounen']",128.0,"Captain Tsubasa is the passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing soccer at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession. 

In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd.

He encounters not only rivals, but also new friends like the pretty girl Sanae Nakazawa and the talented goalkeeper, Genzo Wakabayashi, who shares the same passion as Tsubasa, and will prove to be a treasured friend in helping him push towards his dreams. Representing Japan in the FIFA World Cup is Tsubasa’s ultimate dream, but it will take a lot mo",2444,91744,['Tsuchida Productions'],1983
One Piece: The Curse of the Sacred Sword,7.09,"['Action', 'Adventure', 'Fantasy', 'Shounen']",1.0,"Luffy and crew go to an island searching for a legendary sword, said to be the most expensive in the world. Soon attacking marines and beautiful maidens split the crew. Zoro betrays the crew to help an old friend, Luffy and Usopp wander through a cave, and the rest help a village fight marines. When Zoro defeats Sanji he takes the sacred pearls that are the only defense against the evil sword that will plunge the world into",2445,91726,['Toei Animation'],
RIN-NE,6.88,"['Comedy', 'Supernatural', 'Mythology', 'School', 'Shounen']",25.0,"Rinne Rokudou has bigger problems than going to school—namely, helping spirits pass over to the next life. Because of this responsibility, he often finds himself short on money and struggles to buy his necessities: food, clothes, and exorcism tools.

Sakura Mamiya has been able to see ghosts since she was little. She hoped she would outgrow it, but even after starting high school, nothing has changed. To make matters worse, the first time her ever-absent classmate, Rinne, shows up for school, only Sakura can see him. She assumes, as anyone would, that he is a ghost. However, to Sakura's surprise, Rinne proceeds to attend school like normal the next day. Kyoukai no Rinne chronicles Sakura's journey as she learns of Rinne's true nature and the existence of a hidden supernatural world.",2446,91689,"[""Brain's Base""]",2015
Show By Rock!!,7.03,"['Comedy', 'Fantasy', 'Isekai', 'Music']",12.0,"The great music adventure in Show by Rock!! begins after Cyan decides to play her favorite rhythm game and suddenly gets sucked in, finding herself in a world called Midi City where music reigns supreme. She learns that anyone who delivers amazing and powerful music also has the ability to control the city. However, not all music is pure. An evil plan is set in motion to engulf the whole Midi City in darkness. Is it too late for Cyan to do something?

Cyan Hijirikawa always regards herself as nothing but an ordinary girl living in a mediocre world. She has great talent and extreme guitar skills, but she also lacks the confidence to take the first step in realizing her dream to play in a band and be a music millionaire! Little did she know that an eminent power resides deep within herself—the power to defeat evil with her magical music!

Join Cyan, Chuchu, Retoree and Moa in a world",2447,91672,['Bones'],2015
Bamboo Blade,7.29,"['Comedy', 'Sports', 'Combat Sports', 'School', 'Seinen']",26.0,"Kojirou is the kendo instructor for Muroe High School and he's totally broke. But then an unexpected chance is given to him: his team must win against his senpai's team and the prize is: free meals for a whole year! Now, the only problem left... where to find girls skilled enough and will",2448,91650,['AIC ASTA'],2007
Level 1 Demon Lord and One Room Hero,7.14,"['Comedy', 'Fantasy']",12.0,"After the climactic battle to decide the fate of humanity, the hero Max, alongside his party, emerges victorious against the formidable Demon Lord. As he draws his last breath, the defeated Maou vows to return more powerful than ever to take his revenge.

Ten years later, although Maou has resurrected, the process is incomplete, resulting in him taking on the form of a child. Nevertheless, not wanting to waste another second, Maou pays his nemesis a visit—but the hero who once gallantly protected humankind from the demon's clutches is now a pitiful slob bearing no resemblance to a man of his former caliber.

Despite his disappointment, Maou moves in with Max in hope of building him back up into a worthy adversary. But as the demon learns more about the events that transpired in the decade of his absence, he realizes that there is a story behind Max's downfall that he knows nothing of.",2449,91550,"['SILVER LINK.', 'Blade']",2023
Gintama: Love Incense Arc,8.38,"['Comedy', 'Gag Humor', 'Parody', 'Shounen']",2.0,"The red-light district, Yoshiwara, is suddenly taken over by ""Aizen Kou,"" an incense that has the ability to make anyone fall in love with the first person they see. Having been outlawed for its strong potency, the love drug was thought to have disappeared from the red-light district for good; however, it seems to have found its way back inside Yoshiwara's walls and now has the entire district under its influence.

Of those affected is the cold-hearted Hyakka captain, Tsukuyo, and the first person she sees after inhaling the smoke is none other than the brazen Yorozuya leader, Gintoki Sakata. Unbeknownst to everyone else though, she was already attracted to Gintoki. With those hidden feelings now intensified, Tsukuyo must overcome her afflictions and work with the Yorozuya to return everyone back to normal. ",2450,91570,['Bandai Namco Pictures'],
The Seven Deadly Sins the Movie 2: Cursed By Light,7.13,"['Action', 'Adventure', 'Fantasy', 'Shounen']",1.0,"Meliodas and his friends jump back into action, when the new era of peace is threatened by a powerful magical alliance that could spell the end f",2451,91514,['Studio Deen'],
Aiura,6.64,"['Slice of Life', 'CGDCT', 'Iyashikei', 'School', 'Shounen']",12.0,"As spring vacation comes to a close, a new school semester approaches. Deciding to make the most of the remaining holiday, Ayuko Uehara takes a stroll into her neighborhood and stops by a small cafe. However, her peaceful day is abruptly disturbed when a girl clumsily bumps into her. Left puzzled by the encounter, Ayuko is even more surprised when she meets them again as freshmen at the same high school she attends. Recognizing her from the store, the girls introduce themselves as Kanaka Amaya and Saki Iwasawa, and the three quickly become friends.

As they go through their daily lives as high school girls, the trio's distinct personalities—Kanaka's happy-go-lucky attitude, Saki's tomboyish behavior, and Ayuko's easygoingness—are sure to make every mundane school day filled with silly and fun interactions.",2452,91511,['LIDENFILMS'],2013
Seraph of the End: Vampire Shahar,7.18,"['Action', 'Drama', 'Fantasy', 'Military', 'Vampire', 'Shounen']",1.0,"The story is set before the main story's ""Battle in Nagoya"" arc.

The Shinoa Squad receives another mission from Guren; to rescue a human girl named Riko from a mysterious vampire, Shahar, and bring her back to her family. However, Ferid and Crowley also appear when they find Shahar. Can Yuuichirou save the gi",2453,91485,['Wit Studio'],
Nichijou - My Ordinary Life Episode 0,7.41,"['Comedy', 'Gag Humor', 'School', 'Shounen']",1.0,"While the title suggests a story of simple, everyday school life, the contents are more the opposite. The setting is a strange school where you may see the principal wrestle a deer or a robot's arm hide a rollcake. However there are still normal stories, like making a card castle or taking a",2454,91464,['Kyoto Animation'],
